Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
1,"[('high_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('garlic_clove', 'contains')]",36,1,0.027777777777777776,84,1,0.011904761904761904,36,0,0.0,0.016666666666666666
2,"[('high_protein', 'HasProteinLevel'), ('high_fiber', 'HasFiberLevel'), ('brown_sugar', 'contains')]",25,0,0.0,84,0,0.0,25,0,0.0,0.0
3,"[('medium_fiber', 'HasFiberLevel'), ('breakfast', 'isForMealType'), ('onion', 'contains')]",7,0,0.0,84,0,0.0,7,0,0.0,0.0
4,"[('high_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('onion', 'contains')]",59,4,0.06779661016949153,84,4,0.047619047619047616,59,2,0.03389830508474576,0.055944055944055944
5,"[('low_fat', 'HasFatLevel'), ('asia', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook')]",66,6,0.09090909090909091,84,6,0.07142857142857142,66,6,0.09090909090909091,0.08
6,"[('low_carb', 'HasCarbLevel'), ('dinner', 'isForMealType'), ('pepper', 'contains')]",386,25,0.06476683937823834,84,25,0.2976190476190476,386,82,0.21243523316062177,0.10638297872340423
7,"[('low_carb', 'HasCarbLevel'), ('high_fiber', 'HasFiberLevel'), ('red_onion', 'contains')]",14,1,0.07142857142857142,84,1,0.011904761904761904,14,0,0.0,0.02040816326530612
8,"[('vegan', 'hasDietType'), ('africa', 'isFromRegion'), ('garlic_clove', 'contains')]",37,20,0.5405405405405406,84,20,0.23809523809523808,37,14,0.3783783783783784,0.33057851239669417
9,"[('high_protein', 'HasProteinLevel'), ('less_than_30_mins', 'needTimeToCook'), ('onion', 'contains')]",129,1,0.007751937984496124,84,1,0.011904761904761904,129,2,0.015503875968992248,0.009389671361502348
10,"[('medium_cholesterol', 'HasCholesterolLevel'), ('brunch', 'isForMealType'), ('milk', 'contains')]",47,3,0.06382978723404255,84,3,0.03571428571428571,47,2,0.0425531914893617,0.04580152671755725
11,"[('high_protein', 'HasProteinLevel'), ('low_sodium', 'HasSodiumLevel'), ('salt_product', 'contains')]",44,2,0.045454545454545456,84,2,0.023809523809523808,44,1,0.022727272727272728,0.03125
12,"[('high_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel'), ('less_than_30_mins', 'needTimeToCook')]",142,1,0.007042253521126761,84,1,0.011904761904761904,142,2,0.014084507042253521,0.008849557522123894
14,"[('low_fat', 'HasFatLevel'), ('standard', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook')]",93,4,0.043010752688172046,84,4,0.047619047619047616,93,5,0.053763440860215055,0.04519774011299435
