Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
2,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('lunch', 'isForMealType'), ('standard', 'hasDietType'), ('europe', 'isFromRegion')]",3,0,0.0,1,0,0.0,3,0,0.0,0.0
3,"[('low_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('low_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel'), ('starter', 'isForMealType'), ('vegan', 'hasDietType'), ('more_than_6_hours', 'needTimeToCook'), ('tomato', 'contains')]",2,1,0.5,1,1,1.0,2,1,0.5,0.6666666666666666
18,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('starter', 'isForMealType'), ('vegetarian', 'hasDietType'), ('cinnamon', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
42,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('low_calorie', 'HasCalorieLevel'), ('oceania', 'isFromRegion'), ('olive_oil', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
61,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('medium_fiber', 'HasFiberLevel'), ('high_sugar', 'HasSugarLevel'), ('medium_calorie', 'HasCalorieLevel'), ('vegetarian', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook'), ('milk', 'contains')]",2,0,0.0,1,0,0.0,2,0,0.0,0.0
72,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('high_sodium', 'HasSodiumLevel'), ('high_sugar', 'HasSugarLevel'), ('global', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook'), ('honey', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
77,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('brunch', 'isForMealType'), ('vegetarian', 'hasDietType'), ('global', 'isFromRegion')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
80,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('dessert', 'isForMealType'), ('vegetarian', 'hasDietType'), ('europe', 'isFromRegion'), ('less_than_6_hours', 'needTimeToCook'), ('flour', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
93,"[('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('brunch', 'isForMealType'), ('vegetarian', 'hasDietType'), ('asia', 'isFromRegion'), ('butter', 'contains')]",2,0,0.0,1,0,0.0,2,0,0.0,0.0
122,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('medium_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('standard', 'hasDietType'), ('asia', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook'), ('salt_product', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
181,"[('low_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('paleo', 'hasDietType'), ('europe', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook'), ('garlic_clove', 'contains')]",4,0,0.0,1,0,0.0,4,0,0.0,0.0
191,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel'), ('standard', 'hasDietType'), ('asia', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
196,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('medium_fiber', 'HasFiberLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('breakfast', 'isForMealType'), ('less_than_4_hours', 'needTimeToCook'), ('salt_product', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
199,"[('high_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('medium_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('high_calorie', 'HasCalorieLevel'), ('snack', 'isForMealType'), ('less_than_60_mins', 'needTimeToCook'), ('salt_product', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
341,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('breakfast', 'isForMealType'), ('pepper', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
343,"[('medium_fat', 'HasFatLevel'), ('high_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('lunch', 'isForMealType'), ('more_than_6_hours', 'needTimeToCook'), ('cumin_seed', 'contains')]",2,0,0.0,1,0,0.0,2,0,0.0,0.0
361,"[('low_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel'), ('breakfast', 'isForMealType'), ('standard', 'hasDietType'), ('oceania', 'isFromRegion'), ('sugar', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
398,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('low_calorie', 'HasCalorieLevel'), ('paleo', 'hasDietType'), ('less_than_15_mins', 'needTimeToCook'), ('salt_product', 'contains')]",6,0,0.0,1,0,0.0,6,0,0.0,0.0
420,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('snack', 'isForMealType'), ('global', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook'), ('butter', 'contains')]",4,0,0.0,1,0,0.0,4,0,0.0,0.0
436,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel'), ('low_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('lunch', 'isForMealType'), ('oceania', 'isFromRegion'), ('salt_product', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
448,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('low_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('vegan', 'hasDietType'), ('europe', 'isFromRegion'), ('less_than_6_hours', 'needTimeToCook')]",2,0,0.0,1,0,0.0,2,0,0.0,0.0
455,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel'), ('high_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('snack', 'isForMealType'), ('more_than_6_hours', 'needTimeToCook'), ('pepper', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
475,"[('low_carb', 'HasCarbLevel'), ('high_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('medium_calorie', 'HasCalorieLevel'), ('starter', 'isForMealType'), ('vegetarian', 'hasDietType'), ('red_onion', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
517,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('dessert', 'isForMealType'), ('less_than_30_mins', 'needTimeToCook'), ('sugar', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
526,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_calorie', 'HasCalorieLevel'), ('brunch', 'isForMealType'), ('vegetarian', 'hasDietType'), ('red_onion', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
542,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('europe', 'isFromRegion'), ('milk', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
590,"[('high_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('low_calorie', 'HasCalorieLevel'), ('vegetarian', 'hasDietType'), ('middle_east', 'isFromRegion'), ('tomato', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
624,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('high_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('medium_calorie', 'HasCalorieLevel'), ('africa', 'isFromRegion'), ('pepper', 'contains')]",1,0,0.0,1,0,0.0,1,0,0.0,0.0
