Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
4,"[('medium_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('snack', 'isForMealType'), ('standard', 'hasDietType'), ('tomato', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
7,"[('high_fat', 'HasFatLevel'), ('medium_calorie', 'HasCalorieLevel'), ('brunch', 'isForMealType'), ('standard', 'hasDietType'), ('middle_east', 'isFromRegion'), ('onion', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
8,"[('high_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('low_calorie', 'HasCalorieLevel'), ('dinner', 'isForMealType'), ('vegetarian', 'hasDietType')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
9,"[('medium_protein', 'HasProteinLevel'), ('low_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('dessert', 'isForMealType'), ('europe', 'isFromRegion')]",3,0,0.0,3,0,0.0,3,0,0.0,0.0
14,"[('high_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_calorie', 'HasCalorieLevel'), ('drink', 'isForMealType'), ('less_than_6_hours', 'needTimeToCook'), ('sugar', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
16,"[('high_fat', 'HasFatLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('standard', 'hasDietType'), ('oceania', 'isFromRegion'), ('more_than_6_hours', 'needTimeToCook'), ('onion', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
18,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('high_sodium', 'HasSodiumLevel'), ('lunch', 'isForMealType'), ('asia', 'isFromRegion'), ('chicken_egg', 'contains')]",2,1,0.5,3,1,0.3333333333333333,2,1,0.5,0.4
19,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('vegan', 'hasDietType'), ('north_america', 'isFromRegion'), ('olive_oil', 'contains')]",17,0,0.0,3,0,0.0,17,0,0.0,0.0
21,"[('medium_sodium', 'HasSodiumLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('low_calorie', 'HasCalorieLevel'), ('lunch', 'isForMealType'), ('standard', 'hasDietType'), ('red_onion', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
22,"[('low_carb', 'HasCarbLevel'), ('low_fat', 'HasFatLevel'), ('standard', 'hasDietType'), ('middle_east', 'isFromRegion'), ('less_than_4_hours', 'needTimeToCook'), ('flour', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
26,"[('low_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel'), ('snack', 'isForMealType'), ('less_than_4_hours', 'needTimeToCook'), ('flour', 'contains')]",13,0,0.0,3,0,0.0,13,0,0.0,0.0
28,"[('low_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('dessert', 'isForMealType'), ('middle_east', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook'), ('sugar', 'contains')]",5,0,0.0,3,0,0.0,5,1,0.2,0.0
33,"[('low_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('vegetarian', 'hasDietType'), ('europe', 'isFromRegion'), ('less_than_6_hours', 'needTimeToCook'), ('onion', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
34,"[('low_fat', 'HasFatLevel'), ('low_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('snack', 'isForMealType'), ('europe', 'isFromRegion'), ('salt_product', 'contains')]",7,0,0.0,3,0,0.0,7,0,0.0,0.0
35,"[('high_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('high_calorie', 'HasCalorieLevel'), ('africa', 'isFromRegion'), ('less_than_4_hours', 'needTimeToCook'), ('chicken_egg', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
36,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sugar', 'HasSugarLevel'), ('standard', 'hasDietType'), ('europe', 'isFromRegion')]",9,0,0.0,3,0,0.0,9,0,0.0,0.0
38,"[('low_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel'), ('starter', 'isForMealType'), ('vegetarian', 'hasDietType'), ('europe', 'isFromRegion')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
39,"[('medium_carb', 'HasCarbLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('standard', 'hasDietType'), ('more_than_6_hours', 'needTimeToCook'), ('lemon_juice', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
41,"[('medium_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel'), ('lunch', 'isForMealType'), ('oceania', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook')]",3,0,0.0,3,0,0.0,3,0,0.0,0.0
46,"[('low_protein', 'HasProteinLevel'), ('medium_sodium', 'HasSodiumLevel'), ('high_calorie', 'HasCalorieLevel'), ('north_america', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook'), ('milk', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
49,"[('medium_carb', 'HasCarbLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('vegetarian', 'hasDietType'), ('more_than_6_hours', 'needTimeToCook'), ('baking_powder', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
50,"[('high_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel'), ('medium_cholesterol', 'HasCholesterolLevel'), ('lunch', 'isForMealType'), ('asia', 'isFromRegion'), ('butter', 'contains')]",3,0,0.0,3,0,0.0,3,0,0.0,0.0
52,"[('medium_fat', 'HasFatLevel'), ('medium_fiber', 'HasFiberLevel'), ('low_sugar', 'HasSugarLevel'), ('snack', 'isForMealType'), ('asia', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
54,"[('medium_fiber', 'HasFiberLevel'), ('high_calorie', 'HasCalorieLevel'), ('dessert', 'isForMealType'), ('vegetarian', 'hasDietType'), ('global', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
61,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('high_sugar', 'HasSugarLevel'), ('latin_america_and_caribbean', 'isFromRegion'), ('less_than_60_mins', 'needTimeToCook'), ('milk', 'contains')]",4,0,0.0,3,0,0.0,4,0,0.0,0.0
63,"[('medium_protein', 'HasProteinLevel'), ('high_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('vegan', 'hasDietType'), ('more_than_6_hours', 'needTimeToCook'), ('onion', 'contains')]",4,0,0.0,3,0,0.0,4,0,0.0,0.0
77,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('low_sugar', 'HasSugarLevel'), ('brunch', 'isForMealType'), ('vegan', 'hasDietType'), ('less_than_4_hours', 'needTimeToCook')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
82,"[('high_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('vegetarian', 'hasDietType'), ('north_america', 'isFromRegion'), ('less_than_6_hours', 'needTimeToCook')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
83,"[('medium_fiber', 'HasFiberLevel'), ('low_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('vegan', 'hasDietType'), ('global', 'isFromRegion'), ('cumin_seed', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
95,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('more_than_6_hours', 'needTimeToCook'), ('olive_oil', 'contains')]",2,0,0.0,3,0,0.0,2,0,0.0,0.0
104,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('europe', 'isFromRegion'), ('more_than_6_hours', 'needTimeToCook')]",4,0,0.0,3,0,0.0,4,0,0.0,0.0
107,"[('low_carb', 'HasCarbLevel'), ('medium_fat', 'HasFatLevel'), ('high_fiber', 'HasFiberLevel'), ('dessert', 'isForMealType'), ('vegetarian', 'hasDietType'), ('butter', 'contains')]",1,0,0.0,3,0,0.0,1,0,0.0,0.0
