Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy,F1 Score
16,"[('high_protein', 'HasProteinLevel'), ('low_sugar', 'HasSugarLevel'), ('high_cholesterol', 'HasCholesterolLevel'), ('low_calorie', 'HasCalorieLevel'), ('brunch', 'isForMealType'), ('less_than_15_mins', 'needTimeToCook'), ('butter', 'contains')]",3,0,0.0,2,0,0.0,3,0,0.0,0.0
32,"[('low_carb', 'HasCarbLevel'), ('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('starter', 'isForMealType'), ('north_america', 'isFromRegion'), ('less_than_30_mins', 'needTimeToCook'), ('pepper', 'contains')]",2,0,0.0,2,0,0.0,2,0,0.0,0.0
53,"[('low_carb', 'HasCarbLevel'), ('medium_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('low_calorie', 'HasCalorieLevel'), ('asia', 'isFromRegion'), ('less_than_15_mins', 'needTimeToCook'), ('garlic_clove', 'contains')]",1,0,0.0,2,0,0.0,1,0,0.0,0.0
54,"[('low_fat', 'HasFatLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('starter', 'isForMealType'), ('vegan', 'hasDietType'), ('cumin_seed', 'contains')]",2,0,0.0,2,0,0.0,2,0,0.0,0.0
64,"[('low_protein', 'HasProteinLevel'), ('medium_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('medium_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('starter', 'isForMealType'), ('less_than_60_mins', 'needTimeToCook')]",2,0,0.0,2,0,0.0,2,0,0.0,0.0
84,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('lunch', 'isForMealType'), ('standard', 'hasDietType'), ('tomato', 'contains')]",1,0,0.0,2,0,0.0,1,0,0.0,0.0
86,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('starter', 'isForMealType'), ('less_than_15_mins', 'needTimeToCook'), ('pepper', 'contains')]",2,0,0.0,2,0,0.0,2,0,0.0,0.0
91,"[('high_carb', 'HasCarbLevel'), ('low_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('medium_calorie', 'HasCalorieLevel'), ('starter', 'isForMealType'), ('honey', 'contains')]",1,0,0.0,2,0,0.0,1,0,0.0,0.0
118,"[('low_fat', 'HasFatLevel'), ('high_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('low_sugar', 'HasSugarLevel'), ('europe', 'isFromRegion'), ('more_than_6_hours', 'needTimeToCook'), ('garlic_clove', 'contains')]",1,0,0.0,2,0,0.0,1,0,0.0,0.0
144,"[('low_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('medium_sodium', 'HasSodiumLevel'), ('high_sugar', 'HasSugarLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('vegan', 'hasDietType'), ('less_than_60_mins', 'needTimeToCook')]",4,0,0.0,2,0,0.0,4,0,0.0,0.0
146,"[('medium_fat', 'HasFatLevel'), ('low_fiber', 'HasFiberLevel'), ('high_sodium', 'HasSodiumLevel'), ('low_cholesterol', 'HasCholesterolLevel'), ('brunch', 'isForMealType'), ('oceania', 'isFromRegion'), ('flour', 'contains')]",1,0,0.0,2,0,0.0,1,0,0.0,0.0
