Scenario,Criteria,Expected Matches For Recall,Predicted Matches (Recall),Recall,Expected Matches For Precision,Predicted Matches (Precision),Precision,F1 Score,Expected Matched For Accuracy,Predicted Matched (Accuracy),Accuracy
1,"[('low_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",2920,342,0.1171634121274409,342,342,1.0,0.20975160993560255,2920,2701,0.925
2,"[('low_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",658,340,0.5167173252279635,342,340,0.9941520467836257,0.68,658,554,0.8419452887537994
3,"[('low_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",87,81,0.9310344827586207,342,81,0.23684210526315788,0.3776223776223776,87,59,0.6781609195402298
4,"[('medium_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",645,328,0.5093167701863354,342,328,0.9590643274853801,0.6653144016227179,645,516,0.8
5,"[('medium_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",513,332,0.6471734892787524,342,332,0.9707602339181286,0.776608187134503,513,445,0.8674463937621832
6,"[('medium_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",139,135,0.9712230215827338,342,135,0.39473684210526316,0.5613305613305614,139,113,0.8129496402877698
7,"[('high_protein', 'HasProteinLevel'), ('low_carb', 'HasCarbLevel')]",1095,341,0.3117001828153565,342,341,0.9970760233918129,0.47493036211699163,1095,951,0.8684931506849315
8,"[('high_protein', 'HasProteinLevel'), ('medium_carb', 'HasCarbLevel')]",439,306,0.6970387243735763,342,306,0.8947368421052632,0.7836107554417412,439,359,0.8177676537585421
9,"[('high_protein', 'HasProteinLevel'), ('high_carb', 'HasCarbLevel')]",258,228,0.8837209302325582,342,228,0.6666666666666666,0.7599999999999999,258,202,0.7829457364341085
10,"[('low_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",2093,342,0.1634018155757286,342,342,1.0,0.28090349075975357,2093,1925,0.919732441471572
11,"[('low_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",1346,340,0.2527881040892193,342,340,0.9941520467836257,0.40308239478363955,1346,1151,0.8551263001485884
12,"[('low_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",226,189,0.8362831858407079,342,189,0.5526315789473685,0.6654929577464789,226,165,0.7300884955752213
13,"[('medium_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",304,254,0.8355263157894737,342,254,0.7426900584795322,0.7863777089783283,304,241,0.7927631578947368
14,"[('medium_protein', 'HasProteinLevel'), ('medium_fat', 'HasFatLevel')]",718,336,0.467966573816156,342,336,0.9824561403508771,0.6339622641509434,718,631,0.8788300835654597
15,"[('medium_protein', 'HasProteinLevel'), ('high_fat', 'HasFatLevel')]",275,240,0.8727272727272727,342,240,0.7017543859649122,0.7779578606158833,275,221,0.8036363636363636
16,"[('high_protein', 'HasProteinLevel'), ('low_fat', 'HasFatLevel')]",153,135,0.8881578947368421,342,135,0.39473684210526316,0.5465587044534413,153,114,0.7450980392156863
